epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.326,0.82862,0.98839,1.12246,0.98272,0.85714,0.87385,0.65081,1.07506,1.14167,1.53163,0.0011684,0.0011684,0.0011684
44,114.867,0.75957,0.98087,1.13048,0.97612,0.85714,0.90944,0.65045,1.0385,1.1129,1.4532,0.0011486,0.0011486,0.0011486
45,117.674,0.77781,0.96834,1.10468,0.97612,0.85714,0.90944,0.65045,1.0385,1.1129,1.4532,0.0011288,0.0011288,0.0011288
46,120.222,0.66783,0.84839,0.98805,0.99066,0.85714,0.90658,0.69027,0.90536,1.18519,1.22376,0.001109,0.001109,0.001109
47,123.5,0.72745,0.88913,1.0508,0.99229,0.85714,0.89269,0.70212,0.75505,1.06561,1.14758,0.0010892,0.0010892,0.0010892
48,126.088,0.67033,0.86079,1.076,1,0.84198,0.89955,0.75481,0.72475,1.04925,1.07861,0.0010694,0.0010694,0.0010694
49,128.655,0.74281,0.87334,1.108,0.9731,0.85714,0.91625,0.77849,0.69872,1.02545,1.0686,0.0010496,0.0010496,0.0010496
50,131.285,0.72477,0.95188,1.09948,0.98716,0.85714,0.91625,0.72744,0.75524,1.02183,1.11988,0.0010298,0.0010298,0.0010298
51,133.918,0.76818,0.84806,1.08696,0.98023,0.85714,0.925,0.67931,0.88126,1.06048,1.21905,0.00101,0.00101,0.00101
52,136.511,0.63835,0.8895,1.01454,0.98023,0.85714,0.925,0.67931,0.88126,1.06048,1.21905,0.0009902,0.0009902,0.0009902
53,139.102,0.79259,0.99602,1.10287,0.97761,0.85714,0.90944,0.66628,0.90009,1.13437,1.23117,0.0009704,0.0009704,0.0009704
54,141.669,0.67663,0.86765,1.04008,0.9542,0.85714,0.90944,0.70726,0.86664,1.16847,1.22015,0.0009506,0.0009506,0.0009506
55,144.222,0.77507,0.93383,1.13771,0.94246,0.85714,0.88149,0.66518,0.88989,1.27766,1.21914,0.0009308,0.0009308,0.0009308
56,146.775,0.66414,0.77282,1.01744,0.82682,0.85714,0.84116,0.63145,0.90717,1.25387,1.237,0.000911,0.000911,0.000911
57,149.337,0.75353,0.87011,1.12911,1,0.8519,0.85939,0.65399,0.8824,1.45639,1.26321,0.0008912,0.0008912,0.0008912
58,151.947,0.70516,0.85508,1.07052,1,0.8519,0.85939,0.65399,0.8824,1.45639,1.26321,0.0008714,0.0008714,0.0008714
59,154.519,0.67654,0.8157,1.0018,0.99844,0.85714,0.8763,0.59708,1.06254,1.48907,1.43047,0.0008516,0.0008516,0.0008516
60,157.058,0.70202,0.88386,1.08428,0.99738,0.85714,0.88222,0.63294,0.90132,1.38653,1.20834,0.0008318,0.0008318,0.0008318
61,159.629,0.67831,0.81669,1.08114,0.99209,0.85714,0.91625,0.71441,0.90317,1.14048,1.20984,0.000812,0.000812,0.000812
62,162.15,0.65167,0.817,1.05665,0.98857,0.85714,0.94409,0.70914,0.90613,0.98592,1.2509,0.0007922,0.0007922,0.0007922
63,164.715,0.63502,0.73846,1.01299,0.98801,0.85714,0.953,0.72798,0.99321,0.9011,1.37374,0.0007724,0.0007724,0.0007724
64,167.307,0.7275,0.83214,1.07166,0.98918,0.85714,0.96389,0.72253,1.01765,0.96401,1.33415,0.0007526,0.0007526,0.0007526
