epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7866,0,37.6888,0,0,0,0,0,0,43.3575,0,8e-05,8e-05,8e-05
2,13.5351,0,36.6628,0,0,0,0,0,0,43.376,0,0.000178218,0.000178218,0.000178218
3,14.7766,0,36.0302,0,0,0,0,0,0,43.4833,0,0.000274456,0.000274456,0.000274456
4,16.0208,0,35.2044,0,0,0,0,0,0,43.9085,0,0.000368714,0.000368714,0.000368714
5,17.2433,0,34.2666,0,0,0,0,0,0,44.3962,0,0.000460992,0.000460992,0.000460992
6,18.4223,0,33.1315,0,0,0,0,0,0,44.3288,0,0.00055129,0.00055129,0.00055129
7,19.6697,0,31.8606,0,0,0,0,0,0,44.1508,0,0.000639608,0.000639608,0.000639608
8,20.9052,0,30.5353,0,0,0,0,0,0,43.4193,0,0.000725946,0.000725946,0.000725946
9,22.1218,0,29.3259,0,0,0,0,0,0,42.4284,0,0.000810304,0.000810304,0.000810304
10,23.3194,0,28.506,0,0,0,0,0,0,40.4888,0,0.000892682,0.000892682,0.000892682
11,24.5679,0,27.5318,0,0,0,0,0,0,36.4459,0,0.00097308,0.00097308,0.00097308
12,25.753,0,27.059,0,0,0,0,0,0,33.2558,0,0.0010515,0.0010515,0.0010515
13,26.8981,0,26.2401,0,0,0,0,0,0,33.2558,0,0.00112794,0.00112794,0.00112794
14,28.0453,0,25.684,0,0,0,0,0,0,30.3787,0,0.00120239,0.00120239,0.00120239
15,29.2497,0,25.1086,0,0,0,0,0,0,28.3319,0,0.00127487,0.00127487,0.00127487
16,30.4108,0,24.5688,0,0,0,0,0,0,28.3319,0,0.00134537,0.00134537,0.00134537
17,31.5984,0,24.9896,0,0,0,0,0,0,26.4982,0,0.00141389,0.00141389,0.00141389
18,32.7623,0,23.6694,0,0,0,0,0,0,26.4982,0,0.00148043,0.00148043,0.00148043
19,33.943,0,23.6204,0,0,0,0,0,0,24.9076,0,0.00154498,0.00154498,0.00154498
20,35.1278,0,23.3665,0,0,0,0,0,0,24.9076,0,0.00160756,0.00160756,0.00160756
21,36.3156,0,23.2126,0,0,0,0,0,0,23.0242,0,0.001604,0.001604,0.001604
22,37.4934,0,22.4335,0,0,0,0,0,0,23.0242,0,0.0015842,0.0015842,0.0015842
23,38.6476,0,22.6007,0,0,0,0,0,0,23.0242,0,0.0015644,0.0015644,0.0015644
24,39.8184,0,21.9251,0,0,0,0,0,0,22.1708,0,0.0015446,0.0015446,0.0015446
25,40.9932,0,21.7906,0,0,0,0,0,0,22.1708,0,0.0015248,0.0015248,0.0015248
26,42.1898,0,21.4928,0,0,0,0,0,0,22.2958,0,0.001505,0.001505,0.001505
27,43.5688,0,21.3463,0,0,0,0,0,0,22.2958,0,0.0014852,0.0014852,0.0014852
28,44.7575,0,21.1205,0,0,0,0,0,0,23.107,0,0.0014654,0.0014654,0.0014654
29,45.9469,0,20.6423,0,0,0,0,0,0,23.107,0,0.0014456,0.0014456,0.0014456
30,47.1533,0,20.6418,0,0,0,0,0,0,21.9307,0,0.0014258,0.0014258,0.0014258
31,48.3232,0,20.1224,0,0,0,0,0,0,21.9307,0,0.001406,0.001406,0.001406
32,49.5348,0,20.0223,0,0,0,0,0,0,20.8345,0,0.0013862,0.0013862,0.0013862
33,50.7172,0,19.6577,0,0,0,0,0,0,20.8345,0,0.0013664,0.0013664,0.0013664
34,51.9282,0,19.5908,0,0,0,0,0,0,20.8345,0,0.0013466,0.0013466,0.0013466
35,53.126,0,19.2441,0,0,0,0,0,0,20.2692,0,0.0013268,0.0013268,0.0013268
36,54.2907,0,19.1503,0,0,0,0,0,0,20.2692,0,0.001307,0.001307,0.001307
37,55.5472,0,18.8546,0,0,0,0,0,0,19.2824,0,0.0012872,0.0012872,0.0012872
38,56.712,0,18.9017,0,0,0,0,0,0,19.2824,0,0.0012674,0.0012674,0.0012674
39,57.8946,0,18.4972,0,0,0,0,0,0,19.0778,0,0.0012476,0.0012476,0.0012476
40,59.1081,0,18.2991,0,0,0,0,0,0,19.0778,0,0.0012278,0.0012278,0.0012278
41,60.3259,0,18.4679,0,0,0,0,0,0,19.0843,0,0.001208,0.001208,0.001208
42,61.5379,0,17.9242,0,0,0,0,0,0,19.0843,0,0.0011882,0.0011882,0.0011882
43,62.766,0,17.8821,0,0,0,0,0,0,19.4513,0,0.0011684,0.0011684,0.0011684
44,63.9717,0,17.5321,0,0,0,0,0,0,19.4513,0,0.0011486,0.0011486,0.0011486
45,65.1574,0,17.4876,0,0,0,0,0,0,19.4513,0,0.0011288,0.0011288,0.0011288
