epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70274,0,35.7321,0,0,0,0,0,0,43.3327,0,0.0002,0.0002,0.0002
2,4.90621,0,34.1123,0,0,0,0,0,0,43.9689,0,0.000415842,0.000415842,0.000415842
3,7.02069,0,31.9693,0,0,0,0,0,0,44.0639,0,0.000627328,0.000627328,0.000627328
4,9.13388,0,29.5971,0,0,0,0,0,0,41.575,0,0.000834458,0.000834458,0.000834458
5,11.2224,0,27.5703,0,0,0,0,0,0,35.5592,0,0.00103723,0.00103723,0.00103723
6,13.2869,0,25.9682,0,0,0,0,0,0,31.2667,0,0.00123565,0.00123565,0.00123565
7,15.3319,0,25.4115,0,0,0,0,0,0,30.3547,0,0.00142971,0.00142971,0.00142971
8,17.3848,0,24.049,0,0,0,0,0,0,28.0181,0,0.00161942,0.00161942,0.00161942
9,19.4359,0,23.1785,0,0,0,0,0,0,26.7058,0,0.00180477,0.00180477,0.00180477
10,21.4666,0,22.518,0,0,0,0,0,0,25.2095,0,0.0018218,0.0018218,0.0018218
11,23.4993,0,21.8415,0,0,0,0,0,0,23.0291,0,0.001802,0.001802,0.001802
12,25.5198,0,21.1975,0,0,0,0,0,0,22.8621,0,0.0017822,0.0017822,0.0017822
13,27.5549,0,20.5682,0,0,0,0,0,0,22.8621,0,0.0017624,0.0017624,0.0017624
14,29.5751,0,19.9776,0,0,0,0,0,0,23.7482,0,0.0017426,0.0017426,0.0017426
15,31.6051,0,19.484,0,0,0,0,0,0,17.2272,0,0.0017228,0.0017228,0.0017228
16,33.6221,0,19.0429,0,0,0,0,0,0,16.5645,0,0.001703,0.001703,0.001703
17,35.7046,0,18.5604,0,0,0,0,0,0,16.1876,0,0.0016832,0.0016832,0.0016832
18,37.7555,0,18.0623,0,0,0,0,0,0,22.3392,0,0.0016634,0.0016634,0.0016634
19,39.865,0,17.5775,0,0,0,0,0,0,22.3392,0,0.0016436,0.0016436,0.0016436
20,41.9921,0,17.1046,0,0,0,0,0,0,18.4512,0,0.0016238,0.0016238,0.0016238
21,44.11,0,16.6429,0,0,0,0,0,0,17.7127,0,0.001604,0.001604,0.001604
22,46.2415,0,16.2515,0,0,0,0,0,0,16.2922,0,0.0015842,0.0015842,0.0015842
23,48.3599,0,15.9095,0,0,0,0,0,0,16.736,0,0.0015644,0.0015644,0.0015644
24,50.475,0,15.5196,0,0,0,0,0,0,17.8765,0,0.0015446,0.0015446,0.0015446
25,52.5253,0,15.1113,0,0,0,0,0,0,15.7922,0,0.0015248,0.0015248,0.0015248
26,54.625,0,14.8511,0,0,0,0,0,0,15.7922,0,0.001505,0.001505,0.001505
27,56.7488,0,14.6044,0,0,0,0,0,0,27.1922,0,0.0014852,0.0014852,0.0014852
28,58.8908,0,14.2698,0,0,0,0,0,0,15.38,0,0.0014654,0.0014654,0.0014654
29,61.0393,0,13.9754,0,0,0,0,0,0,15.0833,0,0.0014456,0.0014456,0.0014456
30,63.2117,0,13.6226,0,0,0,0,0,0,14.7714,0,0.0014258,0.0014258,0.0014258
31,65.3806,0,13.3518,0,0,0,0,0,0,17.0145,0,0.001406,0.001406,0.001406
32,67.449,0,13.0029,0,0,0,0,0,0,17.0145,0,0.0013862,0.0013862,0.0013862
33,69.5715,0,12.6985,0,0,0,0,0,0,15.1483,0,0.0013664,0.0013664,0.0013664
34,71.7247,0,12.4421,0,0,0,0,0,0,14.5979,0,0.0013466,0.0013466,0.0013466
35,73.8518,0,12.207,0,0,0,0,0,0,14.1437,0,0.0013268,0.0013268,0.0013268
36,75.9824,0,11.9525,0,0,0,0,0,0,14.5274,0,0.001307,0.001307,0.001307
37,78.1125,0,11.7198,0,0,0,0,0,0,14.4941,0,0.0012872,0.0012872,0.0012872
38,80.2538,0,11.4582,0,0,0,0,0,0,13.0507,0,0.0012674,0.0012674,0.0012674
39,82.3434,0,11.1808,0,0,0,0,0,0,13.0507,0,0.0012476,0.0012476,0.0012476
40,84.5255,0,10.9882,0,0,0,0,0,0,12.6696,0,0.0012278,0.0012278,0.0012278
41,86.6762,0,10.7546,0,0,0,0,0,0,12.0382,0,0.001208,0.001208,0.001208
42,88.8116,0,10.5593,0,0,0,0,0,0,11.8659,0,0.0011882,0.0011882,0.0011882
43,90.9553,0,10.3593,0,0,0,0,0,0,11.9174,0,0.0011684,0.0011684,0.0011684
44,93.1092,0,10.1586,0,0,0,0,0,0,11.7377,0,0.0011486,0.0011486,0.0011486
45,95.2253,0,9.94716,0,0,0,0,0,0,11.7377,0,0.0011288,0.0011288,0.0011288
46,97.3515,0,9.74042,0,0,0,0,0,0,11.6722,0,0.001109,0.001109,0.001109
47,99.5332,0,9.5569,0,0,0,0,0,0,11.5581,0,0.0010892,0.0010892,0.0010892
48,101.69,0,9.38323,0,0,0,0,0,0,11.3904,0,0.0010694,0.0010694,0.0010694
49,103.852,0,9.21141,0,0,0,0,0,0,11.1782,0,0.0010496,0.0010496,0.0010496
50,105.992,0,9.05098,0,0,0,0,0,0,10.9849,0,0.0010298,0.0010298,0.0010298
51,108.123,0,8.87225,0,0,0,0,0,0,10.8091,0,0.00101,0.00101,0.00101
52,110.254,0,8.68312,0,0,0,0,0,0,10.8091,0,0.0009902,0.0009902,0.0009902
53,112.376,0,8.53628,0,0,0,0,0,0,10.6176,0,0.0009704,0.0009704,0.0009704
54,114.534,0,8.39956,0,0,0,0,0,0,10.4303,0,0.0009506,0.0009506,0.0009506
55,116.697,0,8.25909,0,0,0,0,0,0,10.3019,0,0.0009308,0.0009308,0.0009308
56,118.871,0,8.12649,0,0,0,0,0,0,10.1222,0,0.000911,0.000911,0.000911
57,121.047,0,7.99386,0,0,0,0,0,0,9.8686,0,0.0008912,0.0008912,0.0008912
58,123.189,0,7.84756,0,0,0,0,0,0,9.8686,0,0.0008714,0.0008714,0.0008714
59,125.35,0,7.71242,0,0,0,0,0,0,9.58313,0,0.0008516,0.0008516,0.0008516
60,127.484,0,7.59642,0,0,0,0,0,0,9.34726,0,0.0008318,0.0008318,0.0008318
61,129.634,0,7.50028,0,0,0,0,0,0,9.14687,0,0.000812,0.000812,0.000812
62,131.807,0,7.38025,0,0,0,0,0,0,8.97791,0,0.0007922,0.0007922,0.0007922
63,134.031,0,7.27507,0,0,0,0,0,0,8.84396,0,0.0007724,0.0007724,0.0007724
64,136.472,0,7.16422,0,0,0,0,0,0,8.73696,0,0.0007526,0.0007526,0.0007526
65,139.357,0,7.04034,0,0,0,0,0,0,8.73696,0,0.0007328,0.0007328,0.0007328
66,141.965,0,6.96303,0,0,0,0,0,0,8.59446,0,0.000713,0.000713,0.000713
67,144.383,0,6.87864,0,0,0,0,0,0,8.4674,0,0.0006932,0.0006932,0.0006932
68,146.848,0,6.78233,0,0,0,0,0,0,8.35254,0,0.0006734,0.0006734,0.0006734
69,149.088,0,6.68861,0,0,0,0,0,0,8.22718,0,0.0006536,0.0006536,0.0006536
70,151.346,0,6.62334,0,0,0,0,0,0,8.11474,0,0.0006338,0.0006338,0.0006338
71,153.62,0,6.53625,0,0,0,0,0,0,8.11474,0,0.000614,0.000614,0.000614
72,156.794,0,6.45246,0,0,0,0,0,0,7.99784,0,0.0005942,0.0005942,0.0005942
73,159.773,0,6.38775,0,0,0,0,0,0,7.86646,0,0.0005744,0.0005744,0.0005744
